Driver_Nodes,Target_Nodes
"['PSEN1', 'FOSL1', 'TBX21', 'NFX1', 'STAT1', 'RORC', 'IFNG', 'STAT4', 'SMAD2', 'RBPJL', 'IL12RB2', 'HES5', 'HEY1', 'IRF5', 'NFATC4', 'HKDC1', 'SLC2A1', 'VEGFB', 'VEGFD', 'IL12A', 'CCND2', 'IL4', 'CXCL3', 'PGAM2', 'CD58', 'ENTPD1', 'HES4', 'HES6', 'TFAP4', 'GLS2', 'IL17A', 'IL17F', 'RCAN1', 'TRAF5']","['CKS1B', 'FCER2', 'VCAM1', 'EGR3', 'TERT', 'CD58', 'PGAM2', 'IL5', 'CCND1', 'BHLHE40', 'IL17A', 'PER1', 'TFAP4', 'RORC', 'VEGFB', 'PSEN1', 'ARNTL', 'IL12A', 'IDO2', 'MMP2', 'IL18RAP', 'RCAN1', 'NR1D1', 'IFNB1', 'VEGFA', 'IL12RB2', 'NOTCH2', 'HKDC1', 'IL12RB1', 'ENTPD1', 'IFNG', 'HEY1', 'SLC2A1', 'IL4R', 'HES6', 'CCND2', 'GLS2', 'CXCL8', 'IL21', 'IL2', 'BHLHE41', 'IL17F', 'HEY2', 'HES5', 'TRAF5', 'IL4', 'CXCL3', 'HES4', 'VEGFD']"
"['ATF2', 'ETS1', 'FOXO1', 'RBPJ', 'ESR1', 'NFKB2', 'HIF1A', 'TGFB1', 'AHR', 'ARNT', 'ALDOA', 'ANGPT1', 'ANGPT2', 'ANGPT4', 'EGF', 'ENO1', 'ENO2', 'ENO4', 'EPO', 'FLT1', 'GAPDH', 'HK1', 'HK2', 'HK3', 'LTBR', 'NOS3', 'PDK1', 'PFKFB3', 'PFKL', 'PGK1', 'TEK', 'TFRC', 'TIMP1', 'VEGFC', 'FIGF', 'PDGFB', 'TGFB2', 'TGFB3', 'CXCL2', 'PFKP', 'PGAM1', 'PGAM4']","['MIR21', 'NPPA', 'TGFA', 'ALDOA', 'PDK1', 'EDN1', 'ANGPT1', 'CDKN1A', 'TGFB2', 'FLT1', 'TGFB3', 'LTBR', 'PFKL', 'PGK1', 'BNIP3L', 'FGF2', 'ENO2', 'HK1', 'GAPDH', 'ENO4', 'CXCL2', 'PGAM1', 'FIGF', 'BCL2', 'ANGPT4', 'TGFB1', 'EPO', 'ANGPT2', 'BNIP3', 'TF', 'HIF1A', 'HMOX1', 'NOS2', 'VEGFC', 'ENO1', 'TFRC', 'TIMP1', 'HK2', 'PKM', 'PFKFB3', 'PGAM4', 'EGF', 'PDGFB', 'CDKN1B', 'TEK', 'HK3', 'NOS3', 'PGF', 'PFKP']"
"['ATF2', 'TP73', 'IRF9', 'STAT1', 'FOSB', 'CREBBP', 'FOXO1', 'FOXO3', 'YAP1', 'SP1', 'LEF1', 'WWTR1', 'ATF4', 'MAPK1', 'ZNF516', 'NCEH1', 'IL1A', 'PPARD', 'IRF3', 'IFNA7', 'IFNE', 'AGER', 'F3', 'PLAU', 'NFKBIA', 'CEBPG', 'ACOX1', 'ACADL', 'PDPK1', 'RFWD2', 'RPRM', 'RRM2', 'RRM2B', 'ZMAT3', 'BAK1', 'SIVA1', 'APAF1', 'POLK']","['LPL', 'PDGFA', 'CCL2', 'BDNF', 'STAR', 'POLK', 'RFWD2', 'IFNE', 'PDYN', 'ZMAT3', 'MMP7', 'TP53AIP1', 'RRM2', 'IFNA13', 'ZNF516', 'CPT1C', 'BBC3', 'CEBPG', 'IL1A', 'NCEH1', 'GRIA2', 'AGER', 'IFNA16', 'SIVA1', 'TYRP1', 'ACOX1', 'F3', 'GADD45G', 'PMAIP1', 'RPRM', 'G6PC', 'UBC', 'BAK1', 'TNFRSF10A', 'PDPK1', 'TNFSF11', 'FOSB', 'MMP9', 'RRM2B', 'APAF1', 'ACADL', 'NFKBIA', 'SLC1A5', 'PLAU', 'IFNA7', 'EI24', 'CCL13', 'TP73', 'IL8']"
"['HEYL', 'TBX21', 'ATF2', 'RXRB', 'MAPK7', 'FOSL1', 'ETS2', 'IRF9', 'MAF', 'NFATC1', 'RELB', 'STAT3', 'TEAD1', 'SP1', 'CREB1', 'IRF3', 'CRY1', 'BCL3', 'BIRC3', 'CSF2', 'CD44', 'ENTPD8', 'ITGAL', 'TNFAIP3', 'GLS', 'MYH7', 'F2R', 'TRAF3', 'TRAF4', 'BIRC7', 'IL15RA', 'CCL21']","['IDO1', 'BIRC8', 'BIRC2', 'RGS2', 'IL13', 'F2R', 'SELE', 'IL15', 'SLC2A2', 'CDK4', 'TRAF3', 'IL2RA', 'IL22', 'BIRC7', 'MAF', 'ICAM1', 'CTSK', 'NFATC1', 'TRAF4', 'GATA3', 'CD44', 'MMP1', 'IL15RA', 'IL10', 'TNF', 'PTH', 'PTGS2', 'IL17D', 'ERBB2', 'RORB', 'CCL19', 'PER3', 'XIAP', 'TNFAIP3', 'NPPB', 'CKS2', 'MYH7', 'CCL21', 'TBX21', 'RORA', 'CALCR', 'EGR2', 'ITGAL', 'BIRC3', 'HEYL', 'CSF2', 'ENTPD8', 'CRY1', 'GLS']"
"['ATF2', 'FOSL1', 'STAT1', 'BBC3', 'ESR1', 'PPARD', 'FOXO1', 'PPARA', 'NFKB1', 'CBL', 'ITGB3', 'FAS', 'HRK', 'CCL3', 'CCL3L1', 'CCL3L3', 'CCL4', 'GADD45B', 'ACOX3', 'TCF3', 'CCNG1', 'CD82', 'GTSE1', 'IGFBP3', 'PERP', 'PPM1D', 'RCHY1', 'SERPINB5', 'SESN1', 'SESN3', 'SHISA5', 'SIAH1', 'STEAP3', 'TNFRSF10B', 'TP53I3', 'ADGRB1', 'AIFM2', 'BID', 'SAT1', 'SAT2', 'SLC7A11']","['SESN2', 'CPT1A', 'ANGPTL4', 'CCL4L1', 'PERP', 'SAT2', 'CD82', 'STEAP3', 'CCL4', 'SERPINB5', 'ADGRB1', 'CCL3', 'IGFBP3', 'HRK', 'CCNG2', 'THBS1', 'TP53', 'PTEN', 'BID', 'SAT1', 'BAX', 'SIAH1', 'SLC7A11', 'ACOX3', 'FABP3', 'SESN3', 'PER2', 'PPARD', 'PPM1D', 'TNFRSF10B', 'RCHY1', 'AIFM2', 'ACOX2', 'SHISA5', 'GTSE1', 'IL12B', 'IL18R1', 'TP53I3', 'GADD45B', 'FAS', 'CCNG1', 'ITGB3', 'CCL3L1', 'CCL4L2', 'SESN1', 'TRPC6', 'CDK6', 'CCL3L3', 'ACP5']"
"['PPARG', 'THRB', 'MAPK1', 'NR1H3', 'WWTR1', 'NFKB1', 'STAT3', 'CREBBP', 'FOXO3', 'PRKAA1', 'PCK1', 'PCK2', 'CTSL', 'GADD45A', 'MLX', 'ACSL1', 'ACSL3', 'ACSL5', 'ACSL6', 'SCD5', 'SLC27A1', 'SLC27A4', 'ACSBG1', 'ADIPOQ', 'AQP7', 'CD36', 'CYP27A1', 'FABP4', 'GK', 'GK2', 'OLR1', 'SORBS1', 'PLIN2', 'PLIN4', 'PLIN5', 'FASN', 'BAI1', 'DDB2', 'TSC2']","['ACSL4', 'CD36', 'ACACB', 'SLC27A4', 'OLR1', 'ACSL6', 'SORBS1', 'GADD45A', 'SCD', 'PPARG', 'PLIN1', 'GK2', 'PCK2', 'CYP27A1', 'NR1H3', 'DDB2', 'PLIN2', 'ADIPOQ', 'ACSL5', 'FABP4', 'SREBF1', 'SCD5', 'ACACA', 'AQP7', 'FASN', 'COP1', 'ACSBG1', 'SLC27A1', 'CPT1B', 'GK', 'PLIN4', 'FASLG', 'ILK', 'IL1B', 'PLIN5', 'CRY2', 'ACSL1', 'CXCL1', 'CCL5', 'UCP1', 'MYC', 'BCL2L11', 'TSC2', 'PIDD1', 'ACSL3', 'SERPINE1', 'PCK1', 'BAI1', 'CTSL']"
"['CREB1', 'ATF2', 'STAT5A', 'JUN', 'PPARGC1A', 'MITF', 'CAMK4', 'STAT1', 'IRF9', 'RBPJ', 'TEAD1', 'NFKB1', 'CTNNB1', 'SIK1B', 'CRH', 'PCNA', 'CIITA', 'HLA-DMA', 'HLA-DOB', 'HLA-DPA1', 'HLA-DQA2', 'HLA-DQB1', 'HLA-DRA', 'HLA-DRB5', 'REN', 'CD74', 'PTGER4', 'HES1', 'IFNA14', 'IFNA21', 'IFNA4', 'IFNA5', 'IFNW1', 'VIM', 'IL18', 'CFLAR', 'MYB', 'CEBPB']","['REN', 'HLA-DPA1', 'HLA-DOB', 'THBD', 'HLA-DQB1', 'IL18', 'IFNA4', 'HLA-DRB5', 'G6PC2', 'MYB', 'CEBPB', 'MITF', 'ENO3', 'SIK1B', 'LDHA', 'HLA-DQA2', 'MCL1', 'NFKB1', 'HLA-DRB3', 'AMH', 'CREB1', 'NPY', 'NRF1', 'BCL2A1', 'IFNW1', 'CD74', 'BIRC5', 'HLA-DMA', 'CTNNB1', 'PPARGC1A', 'CRH', 'IFNA5', 'IFNA14', 'PRKN', 'TYR', 'CDK5', 'JUN', 'IFNK', 'CFLAR', 'PTGER4', 'PCNA', 'HLA-DRA', 'HLA-DOA', 'IFNA2', 'TRAF2', 'TFAM', 'VIM', 'IFNA21', 'LTA']"
"['MAPK1', 'FOXA2', 'FOXO1', 'CRYAB', 'HSPA1A', 'HSPA1L', 'HSPA2', 'HSPA6', 'HSPA8', 'SOD1', 'ATM', 'BCL6', 'CCNB2', 'CCNB3', 'CDKN2D', 'FBXO25', 'GABARAP', 'GABARAPL2', 'PLK2', 'PLK3', 'PLK4', 'RAG1', 'RAG2', 'S1PR4', 'TNFSF10', 'GALT', 'ASS1', 'GSTA1', 'GSTA2', 'GSTA3', 'GSTA4', 'GSTM4', 'GSTM5', 'GSTO1', 'GSTO2', 'GSTP1', 'GSTT1', 'GSTT2', 'GSTT2B', 'MGST2', 'MGST3', 'NPPC', 'NQO1', 'SQSTM1', 'TXN', 'TXN2']","['GSTM1', 'CAT', 'GSTO1', 'HSPA6', 'NQO1', 'SOD1', 'CCNB2', 'G6PC3', 'GSTM4', 'GABARAP', 'NPPC', 'GSTO2', 'ASS1', 'PLK2', 'GSTA4', 'PLK4', 'PLK3', 'GALT', 'MGST3', 'CDKN2D', 'SOD2', 'GSTM5', 'FBXO25', 'HSPA8', 'HSPA2', 'GSTT2', 'HSPA1A', 'KLF2', 'GSTA2', 'BCL6', 'GSTA1', 'SQSTM1', 'NOS1', 'ATM', 'RAG1', 'GABARAPL2', 'GSTT1', 'GSTT2B', 'GSTA3', 'S1PR4', 'TXN2', 'HSPA1L', 'CCNB3', 'TXN', 'GSTP1', 'MGST2', 'TNFSF10', 'RAG2', 'CRYAB']"
"['STAT3', 'ESR1', 'KLF4', 'PGR', 'IRF9', 'ESR2', 'RARA', 'EBAG9', 'KRT10', 'KRT13', 'KRT14', 'KRT19', 'KRT24', 'KRT25', 'KRT27', 'KRT28', 'KRT33A', 'KRT35', 'KRT36', 'KRT37', 'KRT38', 'KRT39', 'TFF1', 'ATP2B1', 'SLC8A1', 'TRPV5', 'IRF1', 'NEUROD1', 'SMAD2', 'COL1A2', 'SOCS2', 'SOCS4', 'RIPK1', 'AOX1', 'CISH', 'CSN2', 'ELF5', 'LHCGR', 'PRLR', 'TH', 'PIM2']","['KRT26', 'RARA', 'ATP2B1', 'KLF4', 'EIF2AK2', 'TFF1', 'ZBTB16', 'KRT37', 'ESR2', 'SOCS4', 'KRT14', 'SOX2', 'KRT28', 'COL1A2', 'SOCS6', 'KRT13', 'SOCS2', 'EBAG9', 'PRLR', 'LHCGR', 'AOX1', 'SLC8A1', 'TH', 'WNT4', 'KRT36', 'KRT35', 'IL23R', 'ESR1', 'CEBPE', 'KRT19', 'KRT10', 'KRT39', 'POU5F1', 'PIM2', 'KRT33A', 'CISH', 'RIPK1', 'KRT38', 'ELF5', 'PGR', 'GCK', 'KRT24', 'KRT25', 'CCNA1', 'STAT3', 'TRPV5', 'KRT27', 'CSN2', 'IRF1']"
"['THRA', 'ATF2', 'NFX1', 'ATF6B', 'THRB', 'IRF9', 'PRKACA', 'LEF1', 'NOTCH1', 'MAPK1', 'CREBBP', 'ELK1', 'TEAD1', 'INS', 'TG', 'CYP11B1', 'POMC', 'CCL17', 'CCL22', 'CD40', 'CIITA', 'HLA-DPB1', 'HLA-DQA1', 'HLA-DRB4', 'IL6R', 'IFNA6', 'ENTPD3', 'HES2', 'HES3', 'HES7', 'TRAF1', 'PTPN13', 'FLT4', 'MYH6']","['CCND3', 'TNFSF13B', 'THRA', 'HLA-DRB1', 'FLT4', 'NOTCH4', 'HES3', 'INS', 'CYP17A1', 'HLA-DPB1', 'IFNA8', 'SLC2A4', 'CCL22', 'CYP11B1', 'DCT', 'NOTCH3', 'NOTCH1', 'IFNA17', 'SIK1', 'IFNA1', 'POMC', 'BMP4', 'HES2', 'HES1', 'ARC', 'IFNA10', 'HLA-DQA1', 'HLA-DRB4', 'IFNA6', 'HES7', 'PTPN13', 'SOCS3', 'BCL2L1', 'ATP2A2', 'CD40', 'CCL17', 'TRAF1', 'MYH6', 'TG', 'CXCL12', 'IL23A', 'ENTPD3', 'PFKM', 'CXCL10', 'CYP11B2', 'NFKB2', 'HLA-DMB', 'IL6', 'RELA']"

